###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_IMG_4443.jpg		no	0:00	0:05	0.000	5.000	5.000	Edelsberg			15.2.77 (Di) 12:00		
IMG_4439.jpg		no	0:05	0:10	5.000	10.000	5.000	Edelsberg			15.2.77 (Di) 12:00		
IMG_4440.jpg		no	0:10	0:15	10.000	15.000	5.000	Edelsberg			15.2.77 (Di) 12:00		
IMG_4441.jpg		no	0:15	0:20	15.000	20.000	5.000	Edelsberg			15.2.77 (Di) 12:00		
IMG_4442.jpg		no	0:20	0:25	20.000	25.000	5.000	Edelsberg			15.2.77 (Di) 12:00		
IMG_4443.jpg		no	0:25	0:30	25.000	30.000	5.000	Edelsberg			15.2.77 (Di) 12:00		
IMG_4444.jpg		no	0:30	0:35	30.000	35.000	5.000	Edelsberg			15.2.77 (Di) 12:00		
IMG_4445.jpg		no	0:35	0:40	35.000	40.000	5.000	Edelsberg			15.2.77 (Di) 12:00		
IMG_4446.jpg		no	0:40	0:45	40.000	45.000	5.000	Edelsberg			15.2.77 (Di) 12:00		
IMG_4447.jpg		no	0:45	0:50	45.000	50.000	5.000	Edelsberg			15.2.77 (Di) 12:00		
IMG_4448.jpg		no	0:50	0:55	50.000	55.000	5.000	Edelsberg			15.2.77 (Di) 12:00		
IMG_4449.jpg		no	0:55	1:00	55.000	60.000	5.000	Edelsberg			15.2.77 (Di) 12:00		
