###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
IMG_3432.jpg		no	0:00	0:05	0.000	5.000	5.000	Schönkahler			15.2.75 (Sa) 12:00		
IMG_3433.jpg		no	0:05	0:10	5.000	10.000	5.000	Schönkahler			15.2.75 (Sa) 12:00		
IMG_3434.jpg		no	0:10	0:15	10.000	15.000	5.000	Schönkahler			15.2.75 (Sa) 12:00		
IMG_3435.jpg		no	0:15	0:20	15.000	20.000	5.000	Schönkahler			15.2.75 (Sa) 12:00		
IMG_3436.jpg		no	0:20	0:25	20.000	25.000	5.000	Schönkahler			15.2.75 (Sa) 12:00		
IMG_3437.jpg		no	0:25	0:30	25.000	30.000	5.000	Schönkahler			15.2.75 (Sa) 12:00		
IMG_3438.jpg		no	0:30	0:35	30.000	35.000	5.000	Schönkahler			15.2.75 (Sa) 12:00		
IMG_3439.jpg		no	0:35	0:40	35.000	40.000	5.000	Schönkahler			15.2.75 (Sa) 12:00		
IMG_3440.jpg		no	0:40	0:45	40.000	45.000	5.000	Schönkahler			15.2.75 (Sa) 12:00		
IMG_3441.jpg		no	0:45	0:50	45.000	50.000	5.000	Schönkahler			15.2.75 (Sa) 12:00		
IMG_3442.jpg		no	0:50	0:55	50.000	55.000	5.000	Schönkahler			15.2.75 (Sa) 12:00		
IMG_3443.jpg		no	0:55	1:00	55.000	60.000	5.000	Schönkahler			15.2.75 (Sa) 12:00		
IMG_3444.jpg		no	1:00	1:05	60.000	65.000	5.000	Schönkahler			15.2.75 (Sa) 12:00		
IMG_3445.jpg		no	1:05	1:10	65.000	70.000	5.000	Schönkahler			15.2.75 (Sa) 12:00		
IMG_3446.jpg		no	1:10	1:15	70.000	75.000	5.000	Schönkahler			15.2.75 (Sa) 12:00		
IMG_3447.jpg		no	1:15	1:20	75.000	80.000	5.000	Schönkahler			15.2.75 (Sa) 12:00		
IMG_3448.jpg		no	1:20	1:25	80.000	85.000	5.000	Schönkahler			15.2.75 (Sa) 12:00		
IMG_3449.jpg		no	1:25	1:30	85.000	90.000	5.000	Schönkahler			15.2.75 (Sa) 12:00		
